fid,lat,long
397,6.911388,79.875538
398,6.911398,79.875634
399,6.911400,79.875730
400,6.911401,79.875812
401,6.911401,79.875905
402,6.911406,79.876002
403,6.911421,79.876106
404,6.911417,79.876198
405,6.911413,79.876297
406,6.911402,79.876397
407,6.911400,79.876486
408,6.911398,79.876568
409,6.911400,79.876654
410,6.911403,79.876741
411,6.911396,79.876825
412,6.911395,79.876905
413,6.911392,79.876979
414,6.911387,79.877044
415,6.911383,79.877112
416,6.911380,79.877175
417,6.911379,79.877235
418,6.911378,79.877299
419,6.911369,79.877356
420,6.911366,79.877387
421,6.911367,79.877400
422,6.911367,79.877402
423,6.911367,79.877400
424,6.911364,79.877392
425,6.911363,79.877382
426,6.911363,79.877382
427,6.911363,79.877382
428,6.911363,79.877382
429,6.911363,79.877382
430,6.911363,79.877382
431,6.911360,79.877393
432,6.911359,79.877404
433,6.911357,79.877419
434,6.911354,79.877430
435,6.911355,79.877443
436,6.911355,79.877439
437,6.911353,79.877436
438,6.911347,79.877437
439,6.911347,79.877437
440,6.911347,79.877437
441,6.911347,79.877437
442,6.911347,79.877437
443,6.911347,79.877437
444,6.911347,79.877437
445,6.911347,79.877437
446,6.911347,79.877437
447,6.911347,79.877437
448,6.911347,79.877437
449,6.911347,79.877445
450,6.911346,79.877464
451,6.911341,79.877476
452,6.911341,79.877486
453,6.911342,79.877481
454,6.911342,79.877480
455,6.911343,79.877477
456,6.911346,79.877474
457,6.911346,79.877474
458,6.911346,79.877474
459,6.911346,79.877474
460,6.911346,79.877474
461,6.911341,79.877485
462,6.911336,79.877508
463,6.911327,79.877545
464,6.911322,79.877601
465,6.911320,79.877662
466,6.911319,79.877727
467,6.911320,79.877800
468,6.911316,79.877869
469,6.911306,79.877940
470,6.911304,79.878020
471,6.911302,79.878114
472,6.911301,79.878205
473,6.911301,79.878303
474,6.911296,79.878399
475,6.911287,79.878496
476,6.911286,79.878600
477,6.911282,79.878702
478,6.911281,79.878808
479,6.911282,79.878912
480,6.911280,79.879017
481,6.911279,79.879125
482,6.911272,79.879230
483,6.911262,79.879341
484,6.911256,79.879445
485,6.911257,79.879551
486,6.911256,79.879652
487,6.911256,79.879761
488,6.911255,79.879862
489,6.911248,79.879961
490,6.911243,79.880060
491,6.911241,79.880160
492,6.911239,79.880257
493,6.911236,79.880353
494,6.911228,79.880448
495,6.911222,79.880539
496,6.911219,79.880631
497,6.911217,79.880714
498,6.911214,79.880802
499,6.911211,79.880886
500,6.911210,79.880970
501,6.911210,79.881056
502,6.911214,79.881138
503,6.911206,79.881206
504,6.911195,79.881275
505,6.911182,79.881349
506,6.911168,79.881425
507,6.911162,79.881495
508,6.911149,79.881571
509,6.911135,79.881653
510,6.911125,79.881730
511,6.911116,79.881815
512,6.911106,79.881901
513,6.911100,79.881991
514,6.911096,79.882083
515,6.911085,79.882173
516,6.911075,79.882262
517,6.911066,79.882353
518,6.911066,79.882449
519,6.911067,79.882539
520,6.911064,79.882634
521,6.911065,79.882718
522,6.911064,79.882796
523,6.911063,79.882867
524,6.911064,79.882932
525,6.911067,79.882992
526,6.911070,79.883043
527,6.911073,79.883085
528,6.911070,79.883120
529,6.911066,79.883142
530,6.911060,79.883152
531,6.911055,79.883160
532,6.911054,79.883162
533,6.911054,79.883164
